

--- ob_w_company_id_table_lms ---
                        name  nullable              type                                                                                           comment
176                         fldr      True  DOUBLE PRECISION                                                          LONG TERM DEBT REDUCTION
177                         fldn      True  DOUBLE PRECISION                                                               LONG TERM DEBT, NET
178                         ftdi      True  DOUBLE PRECISION                                                                 TOTAL DEBT ISSUED
179                         ftdr      True  DOUBLE PRECISION                                                              TOTAL DEBT REDUCTION
180                         fprd      True  DOUBLE PRECISION                                                ISSUANCE (RETIREMENT) OF DEBT, NET
181                         ftlf      True  DOUBLE PRECISION                                              TOTAL CASH FROM FINANCING ACTIVITIES
182                         sfee      True  DOUBLE PRECISION                                                          FOREIGN EXCHANGE EFFECTS
183                         sncc      True  DOUBLE PRECISION                                                                NET CHANGE IN CASH
184                         sncb      True  DOUBLE PRECISION                                                      NET CASH - BEGINNING BALANCE
185                         snce      True  DOUBLE PRECISION                                                         NET CASH - ENDING BALANCE
186                    sdep_supp      True  DOUBLE PRECISION                                                        DEPRECIATION, SUPPLEMENTAL
187                         scip      True  DOUBLE PRECISION                                                  CASH INTEREST PAID, SUPPLEMENTAL
188                         sctp      True  DOUBLE PRECISION                                                     CASH TAXES PAID, SUPPLEMENTAL
189                      _315500      True  DOUBLE PRECISION                                                        NET INCOME / STARTING LINE
190                      _315501      True  DOUBLE PRECISION                                            DEPRECIATION, DEPLETION & AMORTIZATION
191                      _315502      True  DOUBLE PRECISION                                                        DEPRECIATION AND DEPLETION
192                      _315503      True  DOUBLE PRECISION                                                 AMORTIZATION OF INTANGIBLE ASSETS
193                      _315504      True  DOUBLE PRECISION                                              DEF. INC. TAXES & INVEST. TAX CREDIT
194                      _315505      True  DOUBLE PRECISION                                                                   OTHER CASH FLOW
195                      _315506      True  DOUBLE PRECISION                                  FUNDS FROM OPERATIONS BEFORE WC CHANGES & EXTRA.
196                      _315508      True  DOUBLE PRECISION                                                            DEC/INC IN RECEIVABLES
197                      _315509      True  DOUBLE PRECISION                                                            DEC/INC IN INVENTORIES
198                      _315510      True  DOUBLE PRECISION                                                       INC/DEC IN ACCOUNTS PAYABLE
199                      _315511      True  DOUBLE PRECISION                                                         INC/DEC IN OTHER ACCRUALS
200                      _315512      True  DOUBLE PRECISION                                               DEC/INC IN OTHER ASSETS/LIABILITIES
201                      _315513      True  DOUBLE PRECISION                                                               EXTRAORDINARY ITEMS
202                      _315507      True  DOUBLE PRECISION                                                   FUNDS FROM OTHER OP. ACTIVITIES
203                      _315514      True  DOUBLE PRECISION                                                NET CASH FROM OPERATING ACTIVITIES
204                      _315515      True  DOUBLE PRECISION                                                         ADDITIONS TO FIXED ASSETS
205                      _315516      True  DOUBLE PRECISION                                          INCREASE/DECREASE OTHER LONG TERM ASSETS
206                      _315517      True  DOUBLE PRECISION                                                  INCREASE/DECREASE IN INVESTMENTS
207                      _315518      True  DOUBLE PRECISION                                             NET CASH USED BY INVESTING ACTIVITIES
208                      _315519      True  DOUBLE PRECISION                                                           INC/DEC IN ST BORROWING
209                      _315520      True  DOUBLE PRECISION                                                    INC/DEC IN LONG TERM BORROWING
210                      _315521      True  DOUBLE PRECISION                                   NET PROCEEDS FROM SALE/ISSUE COM. & PREF. STOCK
211                      _315522      True  DOUBLE PRECISION                                                      SHAREHOLDERS` EQUITY RESERVE
212                      _315524      True  DOUBLE PRECISION                                                           COMMON DIVIDENDS (CASH)
213                      _315525      True  DOUBLE PRECISION                                                        PREFERRED DIVIDENDS (CASH)
214                      _315523      True  DOUBLE PRECISION                                                       CASH DIVIDENDS PAID - TOTAL
215                      _315526      True  DOUBLE PRECISION                                           OTHER SOURCE/USE - FINANCING ACTIVITIES
216                      _315528      True  DOUBLE PRECISION                                 NET CASH PROVIDED BY/USED IN FINANCING ACTIVITIES
217                      _315529      True  DOUBLE PRECISION                                                   EFFECT OF EXCHANGE RATE ON CASH
218                      _315530      True  DOUBLE PRECISION                                                  INC/DEC IN CASH & ST INVESTMENTS
219                      _315531      True  DOUBLE PRECISION                                           CASH & EQUIVALENTS AT BEGINNING OF YEAR
220                      _315532      True  DOUBLE PRECISION                                                 CASH & EQUIVALENTS AT END OF YEAR
221          has_cashflow_tables      True  DOUBLE PRECISION  WRDS created var, 1: for this bvdid-console-closdate,there are cashflow table(s)
